编号 景区名 区号 地址
2571 鲁迅故里（含沈园） 0575 绍兴市鲁迅中路235号
2572 绍兴博物馆 0575 绍兴市偏门直街75号
2573 东湖 0575 绍兴市东湖风景区
2574 兰亭 0575 绍兴市兰亭风景区
2575 会稽山 0575 绍兴市大禹陵景区内
2576 名人故居 0575 绍兴市劳动路277路
2581 下渚湖国家湿地公园 0572 德清县三合乡二都集镇
2587 滕头生态旅游区 0574 浙江省奉化市萧王庙街道滕头村
2590 红杉邨 0573 桐乡龙翔街道宗扬路78号
2591 十九峰景区 0575 新昌澄潭镇重阳宫门口
2602 长屿硐天 0576 温岭市新河镇人民政府6楼
2606 华东国际珠宝城 0575 诸暨市山下湖华东国际珠宝城
2608 龙门古镇 0571 浙江省富阳市
2609 前童古镇 0574 浙江省宁海县前童镇
2610 中南百草原 0572 浙江省安吉县城北
2613 石浦渔港古城 0574 石浦渔港中路58号（海峡广场5栋-2楼）
2617 慈城古县城 0574 宁波市慈城镇东城沿路88号
2618 中国扬子鳄村 0572 浙江省湖州市长兴县泗安镇管埭村
2622 台州海洋世界 0576 台州市广场中路38号（市民广场附近）
2623 凤凰山海港乐园 0574 宁波市北仑区辽河路728号
2625 湘湖 0571 杭州市萧山区湘湖路132号
2626 象山影视城 0574 象山县新桥镇
5595 中国畲乡之窗 0578 景宁县大均乡大均村
5596 云中大漈 0578 景宁县大漈乡西一村
5597 草鱼塘森林公园 0578 景宁县东坑镇草鱼塘森林公园
5609 澳多奇农庄 0573 浙江平湖市曹桥街道马厩村
13986 青田石门洞 0578 浙江省青田县高市乡
13990 富春桃源 0571 浙江省富阳市胥口镇
13991 黄公望隐居地 0571 富阳市东洲街道黄公望村
13995 丝绸世界 0575 新昌县南岩开发区达利发路1号
13998 新四军苏浙军区纪念馆 0572 浙江省长兴县槐坎乡温塘村
14000 大桥生态农庄 0574 浙江省慈溪市长河镇镇北路一号桥
15233 西湖风景名胜区 0571 龙井路1号
15234 千岛湖 0571 淳安县千岛湖镇梦姑路千岛湖旅游码头
15235 西溪国家湿地公园 0571 杭州市天目山路518号
